Animal indexes, Subject Avg Rating, Counts
"['19', '39', '51']", 2.32, 10
"['19', '51', '39']", 2.38, 8
"['51', '39', '19']", 2.04, 11
"['51', '19', '39']", 3.04, 3
Trial 35,1.368854,0.255372,
"['3', '18', '9']", -0.45, 12
"['18', '9', '3']", -0.13, 9
"['3', '9', '18']", -0.97, 7
"['9', '18', '3']", -1.44, 6
"['9', '3', '18']", -1.05, 7
"['18', '3', '9']", -0.81, 7
Trial 36,0.456081,0.806481,
"['43', '13', '15']", -1.06, 9
"['13', '43', '15']", -0.60, 11
"['15', '13', '43']", -0.88, 5
"['15', '43', '13']", -0.58, 7
"['43', '15', '13']", -0.86, 6
"['13', '15', '43']", -0.84, 10
Trial 37,1.115598,0.366795,
"['18', '34', '3']", -0.29, 12
"['34', '18', '3']", 0.11, 9
"['3', '34', '18']", 0.19, 4
"['18', '3', '34']", -0.27, 8
"['3', '18', '34']", 0.10, 9
"['34', '3', '18']", -0.12, 6
Trial 38,4.941604,0.001202,SIGNIFICANT
"['47', '44', '34']", -0.05, 9
"['34', '47', '44']", 0.39, 8
"['44', '34', '47']", -0.38, 7
"['34', '44', '47']", -0.51, 9
"['47', '34', '44']", -0.01, 8
"['44', '47', '34']", 0.06, 7
Trial 39,0.847159,0.524474,
"['5', '19', '8']", 1.77, 4
"['19', '8', '5']", 1.56, 2
"['5', '8', '19']", 1.11, 13
"['8', '5', '19']", 1.65, 9
"['19', '5', '8']", 1.14, 8
"['8', '19', '5']", 0.92, 11
